year_film,year_ceremony,ceremony,category,name,film,winner
1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,0
1930,1931,4,WRITING (Adaptation),Horace Jackson,Holiday,0
1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,0
1930,1931,4,WRITING (Adaptation),"Joseph L. Mankiewicz, Sam Mintz",Skippy,0
1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,1
1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,0
1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,0
1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,0
1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,0
1931,1932,5,ACTOR,Wallace Beery,The Champ,1
1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,0
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,1
1931,1932,5,ACTRESS,Marie Dressler,Emma,0
1931,1932,5,ACTRESS,Lynn Fontanne,The Guardsman,0
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,1
1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,0
1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,0
1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,1
1931,1932,5,CINEMATOGRAPHY,Ray June,Arrowsmith,0
1931,1932,5,CINEMATOGRAPHY,Karl Struss,Dr. Jekyll and Mr. Hyde,0
1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,1
1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,1
1931,1932,5,DIRECTING,King Vidor,The Champ,0
1931,1932,5,DIRECTING,Josef Von Sternberg,Shanghai Express,0
1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,0
1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,0
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,0
1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,0
1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,1
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,0
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,0
1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,0
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,1
1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,0
1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,0
1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,0
1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,1
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,0
1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,0
1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,0
1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,0
1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,1
1931,1932,5,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,0
1931,1932,5,SOUND RECORDING,Paramount Publix Studio Sound Department,,1
1931,1932,5,SOUND RECORDING,RKO Radio Studio Sound Department,,0
1931,1932,5,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,0
1931,1932,5,WRITING (Adaptation),Sidney Howard,Arrowsmith,0
1931,1932,5,WRITING (Adaptation),Edwin Burke,Bad Girl,1
1931,1932,5,WRITING (Adaptation),"Percy Heath, Samuel Hoffenstein",Dr. Jekyll and Mr. Hyde,0
1931,1932,5,WRITING (Original Story),Frances Marion,The Champ,1
1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,0
1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,0
1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,0
1931,1932,5,SPECIAL AWARD," Walt Disney for the creation of ""Mickey Mouse.""",,1
1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,0
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,1
1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,0
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,1
1932,1933,6,ACTRESS,May Robson,Lady for a Day,0
1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,0
1932,1933,6,ART DIRECTION,William S. Darling,Cavalcade,1
1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,0
1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,0
1932,1933,6,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,0
1932,1933,6,ASSISTANT DIRECTOR,William Tummel (Fox),,1
1932,1933,6,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,1
1932,1933,6,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,0
1932,1933,6,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,0
1932,1933,6,ASSISTANT DIRECTOR,Charles Barton (Paramount),,1
1932,1933,6,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,0
1932,1933,6,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,0
1932,1933,6,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,0
1932,1933,6,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,1
1932,1933,6,ASSISTANT DIRECTOR,Fred Fox (United Artists),,1
1932,1933,6,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,0
1932,1933,6,ASSISTANT DIRECTOR,Scott Beal (Universal),,1
1932,1933,6,ASSISTANT DIRECTOR,Joe McDonough (Universal),,0
1932,1933,6,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,0
1932,1933,6,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,0
1932,1933,6,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,1
1932,1933,6,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,0
1932,1933,6,CINEMATOGRAPHY,"Charles Bryant Lang, Jr.",A Farewell to Arms,1
1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,0
1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,0
1932,1933,6,DIRECTING,Frank Lloyd,Cavalcade,1
1932,1933,6,DIRECTING,Frank Capra,Lady for a Day,0
1932,1933,6,DIRECTING,George Cukor,Little Women,0
1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,1
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,0
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,0
1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,0
1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,0
1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,0
1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,0
1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,0
1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,0
1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,0
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,0
1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,0
1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,1
1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,0
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,0
1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,1
1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,1
1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,0
1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,0
1932,1933,6,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",A Farewell to Arms,1
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",42nd Street,0
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Gold Diggers of 1933,0
1932,1933,6,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",I Am a Fugitive from a Chain Gang,0
1932,1933,6,WRITING (Adaptation),Robert Riskin,Lady for a Day,0
1932,1933,6,WRITING (Adaptation),"Victor Heerman, Sarah Y. Mason",Little Women,1
1932,1933,6,WRITING (Adaptation),"Paul Green, Sonya Levien",State Fair,0
1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,1
1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,0
1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,0
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,1
1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,0
1934,1935,7,ACTOR,William Powell,The Thin Man,0
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,1
1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,0
1934,1935,7,ACTRESS,Grace Moore,One Night of Love,0
1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,0
1934,1935,7,ART DIRECTION,Richard Day,The Affairs of Cellini,0
1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,0
1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,1
1934,1935,7,ASSISTANT DIRECTOR,Cullen Tate,Cleopatra,0
1934,1935,7,ASSISTANT DIRECTOR,Scott Beal,Imitation of Life,0
1934,1935,7,ASSISTANT DIRECTOR,John Waters,Viva Villa!,1
1934,1935,7,CINEMATOGRAPHY,Charles Rosher,The Affairs of Cellini,0
1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,1
1934,1935,7,CINEMATOGRAPHY,George Folsey,Operator 13,0
1934,1935,7,DIRECTING,Frank Capra,It Happened One Night,1
1934,1935,7,DIRECTING,Victor Schertzinger,One Night of Love,0
1934,1935,7,DIRECTING,W. S. Van Dyke,The Thin Man,0
1934,1935,7,FILM EDITING,Anne Bauchens,Cleopatra,0
1934,1935,7,FILM EDITING,Conrad Nervig,Eskimo,1
1934,1935,7,FILM EDITING,Gene Milford,One Night of Love,0
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)",The Gay Divorcee,0
1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,0
1934,1935,7,MUSIC (Scoring),"Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)",One Night of Love,1
1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,0
1934,1935,7,MUSIC (Song),Music by Con Conrad; Lyrics by Herb Magidson,The Gay Divorcee,1
1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,0
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,0
1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,0
1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,0
1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,0
1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,0
1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,0
1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,0
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,1
1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,0
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,0
1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,0
1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,0
1934,1935,7,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,0
1934,1935,7,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,0
1934,1935,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,1
1934,1935,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,1
1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,0
1934,1935,7,SHORT SUBJECT (Comedy),Warner Bros.,"What, No Men!",0
1934,1935,7,SHORT SUBJECT (Novelty),Skibo Productions,Bosom Friends,0
1934,1935,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,1
1934,1935,7,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Strikes and Spares,0
1934,1935,7,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Affairs of Cellini,0
1934,1935,7,SOUND RECORDING,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",Cleopatra,0
1934,1935,7,SOUND RECORDING,"Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director",Flirtation Walk,0
1934,1935,7,SOUND RECORDING,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",The Gay Divorcee,0
1934,1935,7,SOUND RECORDING,"Universal Studio Sound Department, Theodore Soderberg, Sound Director",Imitation of Life,0
1934,1935,7,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",One Night of Love,1
1934,1935,7,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Viva Villa!,0
1934,1935,7,SOUND RECORDING,"Fox Studio Sound Department, E. H. Hansen, Sound Director",The White Parade,0
1934,1935,7,WRITING (Adaptation),Robert Riskin,It Happened One Night,1
1934,1935,7,WRITING (Adaptation),"Frances Goodrich, Albert Hackett",The Thin Man,0
1934,1935,7,WRITING (Adaptation),Ben Hecht,Viva Villa!,0
1934,1935,7,WRITING (Original Story),Mauri Grashin,Hide-Out,0
1934,1935,7,WRITING (Original Story),Arthur Caesar,Manhattan Melodrama,1
1934,1935,7,WRITING (Original Story),Norman Krasna,The Richest Girl in the World,0
1934,1935,7,SPECIAL AWARD, Shirley Temple,,1
1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,0
1935,1936,8,ACTOR,Charles Laughton,Mutiny on the Bounty,0
1935,1936,8,ACTOR,Victor McLaglen,The Informer,1
1935,1936,8,ACTOR,Paul Muni,Black Fury,0
1935,1936,8,ACTOR,Franchot Tone,Mutiny on the Bounty,0
1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,0
1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,0
1935,1936,8,ACTRESS,Bette Davis,Dangerous,1
1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,0
1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,0
1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,0
1935,1936,8,ART DIRECTION,Richard Day,The Dark Angel,1
1935,1936,8,ART DIRECTION,"Hans Dreier, Roland Anderson",The Lives of a Bengal Lancer,0
1935,1936,8,ART DIRECTION,"Van Nest Polglase, Carroll Clark",Top Hat,0
1935,1936,8,ASSISTANT DIRECTOR,Joseph Newman,David Copperfield,0
1935,1936,8,ASSISTANT DIRECTOR,Eric Stacey,Les Miserables,0
1935,1936,8,ASSISTANT DIRECTOR,"Clem Beauchamp, Paul Wing",The Lives of a Bengal Lancer,1
